Na;b;c;d;e;Ca;g;h;i;j;Cu;l;m;n
;0.63;0;0;;;0.63;0;0;;;0.63;0;0
;0.68;0;0;;;0.68;0;0;;;0.68;0;0
;0.7;-1.7;-1.7;;;0.7;0;0;;;0.7;-3.3;-3.4
;1.5;-5.9;-6;;;1.5;-3;-3.8;;;1.5;-4.2;-4.3
