;;;;;;
"Довжина хвилі
";0,00%;20,00%;40,00%;60,00%;80,00%;100,00%
200 нм;0;0,351;0,703;1,055;1,406;1,758
400 нм;0;0,029;0,058;0,087;0,117;0,146
440 нм;0;0;0,025;0,038;0,051;0,064
