x.Curve1;;
21.814;3.997761;63.8925881462276
27.93;3.998488;63.9274514302714
33.417;3.999216;63.9623753753901
39.803;3.99987;63.9937602027978
48.167;4.000597;64.0286602771208
57.612;4.001543;64.0740925738617
64.897;4.002488;64.1194982971291
72.362;4.003215;64.154444067931
78.658;4.003942;64.1894025336242
83.245;4.004306;64.2069105794723
91.52;4.004961;64.2384234603497
97.726;4.005542;64.2663847353837
103.482;4.006124;64.2944022701827
107.979;4.006706;64.3224279468038
114.096;4.006851;64.3294115559719
119.674;4.00627;64.3014320012919
122.823;4.005688;64.2734124241538
125.254;4.004379;64.2104221916622
127.415;4.002633;64.1264672105218
128.857;4.000888;64.0426334632282
129.939;3.99827;63.9169959096223
135.605;3.999288;63.9658300829671
140.641;4.000306;64.0146891236607
148.286;4.001179;64.0566086821308
155.391;4.002343;64.1125298886502
163.037;4.002997;64.1439638110271
168.883;4.003797;64.1824290612501
175.358;4.004742;64.2278859453993
181.924;4.005688;64.2734124241538
189.299;4.006415;64.3084140906915
194.875;4.00736;64.3539304338883
201.351;4.007942;64.3819734053125
207.287;4.00896;64.4310440985231
213.763;4.009542;64.4591094659648
219.609;4.010269;64.4941785112223
225.275;4.011069;64.5327836293364
230.941;4.011869;64.5714041499556
235.438;4.012524;64.6030361713086
241.644;4.013178;64.6346302046953
247.67;4.01376;64.6627546564854
251.897;4.014632;64.7049082777322
256.124;4.015142;64.7295708337282
