2;0.6;0.03;0.34
2.2;0.62;0.032;0.3
2.4;0.62;0.028;0.28
2.6;0.6;0.024;0.36
2.8;0.62;0.012;0.34
3;0.64;0.012;0.3
3.2;0.62;0.004;0.28
3.4;0.64;0.008;0.3
3.6;0.62;0.008;0.34
3.8;0.62;0.004;0.36
4;0.62;0.004;0.36
