Usumm, мВ;UR, мВ;ΔUsumm=UR, мВ;R;ΔUd,mV;ΔId, mA;Ud,mV;Id,mA;;Usumm, мВ;UR, мВ;ΔUsumm=UR, мВ;ΔUd,mV;ΔId, mA;Ud,mV;Id,mA;;Usumm, В;UR, В;ΔUsumm=UR, В;R2;ΔUd,V;ΔId, A;Ud,V;Id,A;;Usumm, В;UR, В;ΔUsumm, В;UR, мВ;ΔUd,V;ΔId, mA;Ud,V;Id,A
1210;1103;0,5;5000;0,7071;0,011;107,0000;0,2206;;4587;4017;0,5;0,7071;0,0402;570,0000;0,8034;;34,63;7,22;0,005;100000;0,007071;0,000004;27,4100;0,0000722;;7455;3,25;0,5;0,005;0,500025;0,00000163;7451,7500;0,0000325
1370;1262;0,5;5000;0,7071;0,0126;108,0000;0,2524;;4977;4383;0,5;0,7071;0,0438;594,0000;0,8766;;35,76;7,81;0,005;100000;0,007071;0,000004;27,9500;0,0000781;;8175;3,66;0,5;0,005;0,500025;0,00000183;8171,3400;0,0000366
1527;1412;0,5;5000;0,7071;0,0141;115,0000;0,2824;;4891;4313;0,5;0,7071;0,0431;578,0000;0,8626;;37,49;8,75;0,005;100000;0,007071;0,000004;28,7400;0,0000875;;9162;3,97;0,5;0,005;0,500025;0,00000199;9158,0300;0,0000397
1723;1604;0,5;5000;0,7071;0,016;119,0000;0,3208;;5305;4712;0,5;0,7071;0,0471;593,0000;0,9424;;37,90;9,01;0,005;100000;0,007071;0,000005;28,8900;0,0000901;;10060;4,45;5;0,005;5,000002;0,00000223;10055,5500;0,0000445
2043;1914;0,5;5000;0,7071;0,0191;129,0000;0,3828;;6383;5831;0,5;0,7071;0,0583;552,0000;1,1662;;39,94;10,11;0,005;100000;0,007071;0,000005;29,8300;0,0001011;;11090;4,90;5;0,005;5,000002;0,00000245;11085,1000;0,00
2264;2136;0,5;5000;0,7071;0,0214;128,0000;0,4272;;6880;6215;0,5;0,7071;0,0622;665,0000;1,243;;42,66;11,57;0,005;100000;0,007071;0,000006;31,0900;0,0001157;;11850;5,27;5;0,005;5,000002;0,00000264;11844,7300;0,0000527
2483;2348;0,5;5000;0,7071;0,0235;135,0000;0,4696;;8018;7397;0,5;0,7071;0,074;621,0000;1,4794;;44,44;12,53;0,005;100000;0,007071;0,000006;31,9100;0,0001253;;;;;;;;;
2583;2441;0,5;5000;0,7071;0,0244;142,0000;0,4882;;8711;8087;0,5;0,7071;0,0809;624,0000;1,6174;;46,34;13,61;0,005;100000;0,007071;0,000007;32,7300;0,0001361;;;;;;;;;
2824;2681;0,5;5000;0,7071;0,0268;143,0000;0,5362;;9327;8721;0,5;0,7071;0,0872;606,0000;1,7442;;47,11;14,07;0,005;100000;0,007071;0,000007;33,0400;0,0001407;;;;;;;;;
4426;4263;0,5;5000;0,7071;0,0426;163,0000;0,8526;;10100;9460;5;7,0711;0,0946;640,0000;1,892;;49,02;15,17;0,005;100000;0,007071;0,000008;33,8500;0,0001517;;;;;;;;;
4878;4711;0,5;5000;0,7071;0,0471;167,0000;0,9422;;12420;11720;5;7,0711;0,1172;700,0000;2,344;;51,78;16,72;0,005;100000;0,007071;0,000008;35,0600;0,0001672;;;;;;;;;
5201;5034;0,5;5000;0,7071;0,0503;167,0000;1,0068;;14190;13540;5;7,0711;0,1354;650,0000;2,708;;53,23;17,58;0,005;100000;0,007071;0,000009;35,6500;0,0001758;;;;;;;;;
6575;6393;0,5;5000;0,7071;0,0639;182,0000;1,2786;;15740;15030;5;7,0711;0,1503;710,0000;3,006;;54,69;18,42;0,005;100000;0,007071;0,000009;36,2700;0,0001842;;;;;;;;;
7125;6937;0,5;5000;0,7071;0,0694;188,0000;1,3874;;16870;16180;5;7,0711;0,1618;690,0000;3,236;;55,83;19,05;0,005;100000;0,007071;0,00001;36,7800;0,0001905;;;;;;;;;
8530;8341;0,5;5000;0,7071;0,0834;189,0000;1,6682;;17660;16940;5;7,0711;0,1694;720,0000;3,388;;58,55;20,57;0,005;100000;0,007071;0,00001;37,9800;0,0002057;;;;;;;;;
9386;9181;0,5;5000;0,7071;0,0918;205,0000;1,8362;;19230;18510;5;7,0711;0,1851;720,0000;3,702;;62,81;22,99;0,005;100000;0,007071;0,000011;39,8200;0,0002299;;;;;;;;;
10260;10060;5;5000;7,0711;0,1006;200,0000;2,012;;20470;19810;5;7,0711;0,1981;660,0000;3,962;;65,87;24,35;0,005;100000;0,007071;0,000012;41,5200;0,0002435;;;;;;;;;
13080;12610;5;5000;7,0711;0,1261;470,0000;2,522;;23080;22410;5;7,0711;0,2241;670,0000;4,482;;72,41;28,39;0,005;100000;0,007071;0,000014;44,0200;0,0002839;;;;;;;;;
15650;15450;5;5000;7,0711;0,1545;200,0000;3,09;;25430;24750;5;7,0711;0,2475;680,0000;4,95;;81,44;34,58;0,005;100000;0,007071;0,000017;46,8600;0,0003458;;;;;;;;;
18430;18030;5;5000;7,0711;0,1803;400,0000;3,606;;27130;26460;5;7,0711;0,2646;670,0000;5,292;;90,18;39,31;0,005;100000;0,007071;0,00002;50,8700;0,0003931;;;;;;;;;
18810;18510;5;5000;7,0711;0,1851;300,0000;3,702;;28220;27530;5;7,0711;0,2753;690,0000;5,506;;93,38;41,15;0,005;100000;0,007071;0,000021;52,2300;0,0004115;;;;;;;;;
20340;20120;5;5000;7,0711;0,2012;220,0000;4,024;;29630;28940;5;7,0711;0,2894;690,0000;5,788;;99,36;44,32;0,005;100000;0,007071;0,000022;55,0400;0,0004432;;;;;;;;;
23250;22980;5;5000;7,0711;0,2298;270,0000;4,596;;31210;30520;5;7,0711;0,3052;690,0000;6,104;;;;;;0;0;0,0000;0;;;;;;;;;
25530;25270;5;5000;7,0711;0,2527;260,0000;5,054;;32550;31850;5;7,0711;0,3185;700,0000;6,37;;;;;;0;0;0,0000;0;;;;;;;;;
28580;28280;5;5000;7,0711;0,2828;300,0000;5,656;;35130;34440;5;7,0711;0,3444;690,0000;6,888;;;;;;0;0;0,0000;0;;;;;;;;;
30200;29900;5;5000;7,0711;0,299;300,0000;5,98;;38560;37860;5;7,0711;0,3786;700,0000;7,572;;;;;;0;0;0,0000;0;;;;;;;;;
31950;31660;5;5000;7,0711;0,3166;290,0000;6,332;;40030;39340;5;7,0711;0,3934;690,0000;7,868;;;;;;0;0;0,0000;0;;;;;;;;;
33440;33120;5;5000;7,0711;0,3312;320,0000;6,624;;42030;41350;5;7,0711;0,4135;680,0000;8,27;;;;;;0;0;0,0000;0;;;;;;;;;
34670;34350;5;5000;7,0711;0,3435;320,0000;6,87;;45480;44720;5;7,0711;0,4472;760,0000;8,944;;;;;;0;0;0,0000;0;;;;;;;;;
35950;35690;5;5000;7,0711;0,3569;260,0000;7,138;;48470;47740;5;7,0711;0,4774;730,0000;9,548;;;;;;0;0;0,0000;0;;;;;;;;;
37820;37550;5;5000;7,0711;0,3755;270,0000;7,51;;50240;49500;5;7,0711;0,495;740,0000;9,9;;;;;;0;0;0,0000;0;;;;;;;;;
38670;38350;5;5000;7,0711;0,3835;320,0000;7,67;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
40910;40320;5;5000;7,0711;0,4032;590,0000;8,064;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
41830;41550;5;5000;7,0711;0,4155;280,0000;8,31;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
46370;46050;5;5000;7,0711;0,4605;320,0000;9,21;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
49430;49010;5;5000;7,0711;0,4901;420,0000;9,802;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
50630;50330;5;5000;7,0711;0,5033;300,0000;10,066;;;;;0;0;0,0000;0;;;;;;0;0;0,0000;0;;;;;;;;;
