;;;;;;
Довжина хвилі;0,00%;20,00%;40,00%;60,00%;80,00%;100,00%
200 нм;0;0,332;0,678;1,017;1,356;1,695
400 нм;0;0,028;0,056;0,085;0,113;0,141
440 нм;0;0;0,025;0,038;0,051;0,064
